,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,29,8,15,6,8,2,0.64,0.044137931,40.728,23.50444828,64.43068966
4,15,4,3,8,10,2,0.82114,0.0396,72.62433333,54.85853333,128.4506667
5,23,16,1,6,10,4,0.7451,0.023008696,52.74595652,32.331,85.40086957
6,8,0,0,8,8,0,0.666675,0.19965,100.568375,100.083875,241.69625
7,10,3,0,7,9,2,0.70853,0.13025,98.1446,74.0573,180.405
8,19,6,5,8,9,1,0.490526316,0.050526316,55.69863158,44.43326316,100.3715789
9,14,0,7,7,10,3,0.589714286,0.105142857,78.2235,51.09457143,132.2835714
10,101,82,19,0,1,1,0.2232,0.0009,17.59129703,0.13070297,17.83970297
11,741,399,342,0,4,4,0.187057355,0,2.28551552,0.023846154,2.438137652
1,20,6,8,6,10,4,0.27383,0.04999,62.07185,32.81505,95.069
2,9,0,0,9,9,0,0.113822222,0.018977778,100.1292222,100.118,200.66
3,16,0,7,9,9,0,0.28940625,0.01356875,57.5633125,56.3494375,114.186875